disease,model,test_study,train_studies,accuracy,auc
adhd,RandomForest,CaiZ_2025,"AartsE_2017,CickovskiT_2023",0.5407725321888412,0.4083371023669531
adhd,RandomForest,AartsE_2017,"CaiZ_2025,CickovskiT_2023",0.21875,0.4791524265208476
adhd,RandomForest,CickovskiT_2023,"CaiZ_2025,AartsE_2017",0.45901639344262296,0.4811422413793104
alzheimers,SVM,JiaL_2025,"LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.43243243243243246,0.5028623471246422
alzheimers,SVM,LiuG_2025,"JiaL_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.5614035087719298,0.5757042253521127
alzheimers,SVM,UedaA_2021,"JiaL_2025,LiuG_2025,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.5714285714285714,0.6649659863945578
alzheimers,SVM,YildirimS_2022,"JiaL_2025,LiuG_2025,UedaA_2021,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.496,0.5907525172231054
alzheimers,SVM,CirsteaM_2022,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.45454545454545453,0.4283950617283951
alzheimers,SVM,WangY_2022,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,FerreiroA_2023,LiB_2019,WuL_2021,ZhuangZ_2018",0.6538461538461539,0.7159763313609467
alzheimers,SVM,FerreiroA_2023,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,LiB_2019,WuL_2021,ZhuangZ_2018",0.44871794871794873,0.48288288288288295
alzheimers,SVM,LiB_2019,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,WuL_2021,ZhuangZ_2018",0.6,0.5855555555555556
alzheimers,SVM,WuL_2021,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,ZhuangZ_2018",0.5245901639344263,0.553030303030303
alzheimers,SVM,ZhuangZ_2018,"JiaL_2025,LiuG_2025,UedaA_2021,YildirimS_2022,CirsteaM_2022,WangY_2022,FerreiroA_2023,LiB_2019,WuL_2021",0.5232558139534884,0.5256895619253651
autism,CatBoost,ZhangM_2020,"CaiZ_2025,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.4936708860759494,0.5794871794871795
autism,CatBoost,CaiZ_2025,"ZhangM_2020,TongZ_2022,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.6626016260162602,0.7330090618336887
autism,CatBoost,TongZ_2022,"ZhangM_2020,CaiZ_2025,StratiF_2017,FrolovaM_2021,ZuritaM_2019,FouquierJ_2021,HaS_2021,ZouR_2020,KovtunA_2020,DingX_2020,ZhaoR_2019,CaoX_2021,ChenY_2020,WanY_2021,LiN_2021,ChenZ_2021,SonJ_2015,TataruC_2023,HeJ_2023,WangH_2023,MillanA_2024,PullikanJ_2018,KangD_2013,DanZ_2020,KangD_2020,SharonG_2019",0.5961538461538461,0.6405325443786982
